City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Santa Fe,AR,2/10/2022 15:45,-31.63,-60.7,71.01,27,44,5.99
181,Hualmay,PE,2/10/2022 15:47,-11.1,-77.61,68.43,67,63,10.58
182,Hilo,US,2/10/2022 15:44,19.73,-155.09,73,73,1,6.93
183,Charters Towers,AU,2/10/2022 15:47,-20.1,146.27,68.52,32,0,1.68
184,Vila Velha,BR,2/10/2022 15:47,-20.33,-40.29,89.6,62,20,16.11
185,Meulaboh,ID,2/10/2022 15:47,4.14,96.13,78.03,84,100,2.66
186,Oriximina,BR,2/10/2022 15:47,-1.77,-55.87,98.92,35,76,6.33
187,Saint-Pierre,RE,2/10/2022 15:47,-21.34,55.48,71.6,68,75,16.11
188,Waingapu,ID,2/10/2022 15:47,-9.66,120.26,80.82,80,94,6.2
189,Lagoa,PT,2/10/2022 15:47,39.05,-27.98,68.2,92,100,15.35
190,Leshukonskoye,RU,2/10/2022 15:47,64.9,45.76,41.58,92,100,8.81
191,Nanortalik,GL,2/10/2022 15:47,60.14,-45.24,32.72,92,100,7.58
192,Anadyr,RU,2/10/2022 15:44,64.75,177.48,6.8,84,0,8.95
193,Ulaangom,MN,2/10/2022 15:47,49.98,92.07,31.93,88,99,8.03
194,Walvis Bay,NA,2/10/2022 15:47,-22.96,14.51,64,79,46,10
195,Umm Lajj,SA,2/10/2022 15:47,25.02,37.27,82.49,53,0,4.21
196,Carnarvon,AU,2/10/2022 15:47,-24.87,113.63,69.8,100,75,8.05
197,Pemangkat,ID,2/10/2022 15:47,1.17,108.97,80.17,83,99,6.4
198,Martinsville,US,2/10/2022 15:46,36.69,-79.87,71.6,100,90,6.93
199,Gejiu,CN,2/10/2022 15:47,23.31,103.16,52.07,100,94,3.65
200,Astoria,US,2/10/2022 15:47,46.19,-123.83,52,93,90,3.91
201,Whitehorse,CA,2/10/2022 15:45,60.72,-135.05,24.8,92,90,4.7
202,Oschersleben,DE,2/10/2022 15:47,52.03,11.25,53.01,70,69,3
203,Otradnoye,RU,2/10/2022 15:47,59.78,30.82,51.01,93,20,2.24
204,Iqaluit,CA,2/10/2022 15:47,63.75,-68.51,15.8,66,75,8.05
205,Pangnirtung,CA,2/10/2022 15:46,66.15,-65.71,12.2,66,75,2.24
206,Coihaique,CL,2/10/2022 15:47,-45.58,-72.07,53.6,54,20,6.93
207,Lazaro Cardenas,MX,2/10/2022 15:47,17.96,-102.2,83.73,70,6,1.19
208,Sibolga,ID,2/10/2022 15:47,1.74,98.78,77.94,82,100,2.89
209,Iracoubo,GF,2/10/2022 15:47,5.48,-53.2,87.13,68,95,13.91
210,Sokolo,ML,2/10/2022 15:47,14.73,-6.12,99.27,8,27,14.16
211,Logrono,ES,2/10/2022 15:47,42.47,-2.45,66.2,48,0,1.12
212,Harper,LR,2/10/2022 15:47,4.38,-7.72,80.73,81,52,7.2
213,Semnan,IR,2/10/2022 15:47,35.57,53.4,57.51,36,0,2.01
214,Camargo,MX,2/10/2022 15:47,27.67,-105.17,55.63,36,0,7.05
215,Tura,IN,2/10/2022 15:47,25.52,90.22,71.62,89,0,4.29
216,Indiaroba,BR,2/10/2022 15:47,-11.52,-37.51,86.23,52,71,10.36
217,Zabol,AF,2/10/2022 15:47,32.25,67.25,46.08,42,0,6.4
218,Belyy Yar,RU,2/10/2022 15:47,53.6,91.39,26.6,49,0,11.18
219,Saint-Georges,GD,2/10/2022 15:47,12.06,-61.75,82.4,88,40,20.8
220,Lujan,AR,2/10/2022 15:47,-34.57,-59.1,62.01,55,6,5.99
221,New Norfolk,AU,2/10/2022 15:47,-42.78,147.06,53.6,81,90,3.36
222,Faanui,PF,2/10/2022 15:47,-16.48,-151.75,80.01,75,30,5.7
223,Sovetskiy,RU,2/10/2022 15:47,61.36,63.58,36.3,88,41,10.83
224,Tiksi,RU,2/10/2022 15:47,71.69,128.87,3.27,93,99,9.31
225,Kambam,ID,2/10/2022 15:47,5.25,96.86,80.64,77,79,4.41
226,Shache,CN,2/10/2022 15:47,38.42,77.24,47.41,37,94,15.88
227,Methoni,GR,2/10/2022 15:47,36.82,21.7,71.01,56,40,6.93
228,Kavieng,PG,2/10/2022 15:47,-2.57,150.8,81.81,78,86,8.75
229,Faxinal,BR,2/10/2022 15:47,-24,-51.32,60.26,97,100,1.59
230,Buala,SB,2/10/2022 15:47,-8.14,159.59,79.14,85,100,9.57
231,Chumikan,RU,2/10/2022 15:47,54.72,135.31,31.53,94,0,11.3
232,Arequipa,PE,2/10/2022 15:47,-16.4,-71.53,66.2,25,0,6.93
233,Puro,PH,2/10/2022 15:47,12.48,123.38,81.16,82,64,8.97
234,Pandan Niog,PH,2/10/2022 15:47,6.23,120.56,83.53,75,0,8.5
235,Luwuk,ID,2/10/2022 15:47,-0.95,122.79,78.85,73,86,2.1
236,El Alto,PE,2/10/2022 15:47,-4.27,-81.21,75.2,64,0,23.04
237,Tasiilaq,GL,2/10/2022 15:47,65.61,-37.64,32,91,75,6.93
238,Soyo,AO,2/10/2022 15:47,-6.13,12.37,78.76,81,100,10.71
239,Souillac,MU,2/10/2022 15:47,-20.52,57.52,71.01,70,47,7
240,Ariyalur,IN,2/10/2022 15:47,11.13,79.08,75.7,69,0,13.06
241,Bandarbeyla,SO,2/10/2022 15:47,9.49,50.81,79.65,77,39,13.71
242,Port Elizabeth,ZA,2/10/2022 15:47,-33.92,25.57,64.4,72,75,18.34
243,Hay River,CA,2/10/2022 15:47,60.82,-115.8,21.2,79,28,6.93
244,Kalmunai,LK,2/10/2022 15:47,7.42,81.82,80.47,79,79,0.07
245,Taybad,IR,2/10/2022 15:47,34.74,60.78,43.23,40,22,9.31
246,Zyryanovsk,KZ,2/10/2022 15:47,49.74,84.27,27.95,95,100,1.95
247,Shenjiamen,CN,2/10/2022 15:47,29.96,122.3,63,71,0,13.29
248,Thompson,CA,2/10/2022 15:45,55.74,-97.86,17.6,85,75,4.7
249,Dubai,AE,2/10/2022 15:43,25.26,55.3,86,51,0,6.93
250,Nikolskoye,RU,2/10/2022 15:47,59.7,30.79,51.01,93,20,2.24
251,Novokuznetsk,RU,2/10/2022 15:47,53.76,87.11,27.54,93,100,12.15
252,Pochutla,MX,2/10/2022 15:47,15.74,-96.47,86,74,40,3.38
253,Carlsbad,US,2/10/2022 15:45,33.16,-117.35,68,87,1,2.39
254,Gazli,UZ,2/10/2022 15:47,40.13,63.45,45.14,52,0,16.89
255,Dudinka,RU,2/10/2022 15:47,69.41,86.18,3.87,90,49,7.16
256,Homer,US,2/10/2022 15:47,59.64,-151.55,32,68,1,6.93
257,Rio Grande,BR,2/10/2022 15:47,-32.03,-52.1,66.99,65,91,7
258,Aksu,CN,2/10/2022 15:47,41.12,80.26,47.21,52,100,4.59
259,Boende,CD,2/10/2022 15:47,-0.22,20.87,71.74,89,100,2.3
260,Muisne,EC,2/10/2022 15:47,0.6,-80.03,78.8,83,90,2.24
261,Tazmalt,DZ,2/10/2022 15:47,36.39,4.4,68,68,0,5.82
262,Koslan,RU,2/10/2022 15:47,63.46,48.9,40.59,94,100,8.61
263,Nioro,GM,2/10/2022 15:47,13.35,-15.75,97.38,20,94,3.87
264,Lavrentiya,RU,2/10/2022 15:47,65.58,-171,22.48,89,0,8.32
265,Taiobeiras,BR,2/10/2022 15:47,-15.81,-42.23,83.86,57,85,7.7
266,Pavlivka,UA,2/10/2022 15:47,49.44,28.46,51.8,87,75,4.03
267,Bodden Town,KY,2/10/2022 15:47,19.28,-81.25,89.01,70,40,5.82
268,Selfoss,IS,2/10/2022 15:47,63.93,-21,43,87,92,10
269,Athens,GR,2/10/2022 15:47,37.98,23.72,69.8,60,40,5.82
270,Lerwick,GB,2/10/2022 15:47,60.15,-1.15,50,87,20,9.17
271,Aklavik,CA,2/10/2022 15:47,68.22,-135.01,10.4,85,75,2.28
272,Catabola,AO,2/10/2022 15:47,-12.15,17.28,77.54,54,57,2.44
273,Strezhevoy,RU,2/10/2022 15:47,60.73,77.59,19.4,85,90,8.95
274,Farafangana,MG,2/10/2022 15:47,-22.82,47.83,72.12,80,80,14.07
275,San Cristobal,VE,2/10/2022 15:47,7.77,-72.22,84.2,66,40,10.29
276,Tromso,NO,2/10/2022 15:47,69.65,18.96,33.8,86,90,3.36
277,Orsha,BY,2/10/2022 15:47,54.52,30.41,46.4,87,90,8.95
278,Kuala Terengganu,MY,2/10/2022 15:44,5.33,103.14,80.13,83,100,3.18
279,Osakarovka,KZ,2/10/2022 15:47,50.56,72.57,30.88,94,84,16.33
280,Aksarka,RU,2/10/2022 15:47,66.56,67.8,13.68,96,100,3.06
281,Maceio,BR,2/10/2022 15:47,-9.67,-35.74,86,58,40,12.75
282,Westport,US,2/10/2022 15:47,41.14,-73.36,48.2,93,90,8.05
283,Sakakah,SA,2/10/2022 15:47,29.97,40.21,86,9,0,11.34
284,Antsohihy,MG,2/10/2022 15:47,-14.88,47.99,81.1,60,100,2.06
285,Ahipara,NZ,2/10/2022 15:47,-35.17,173.17,59.25,89,99,6.96
286,Tanete,ID,2/10/2022 15:47,-3.94,119.78,76.14,90,95,2.66
287,Lakes Entrance,AU,2/10/2022 15:47,-37.88,147.98,59,95,72,1.72
288,Jalaun,IN,2/10/2022 15:47,26.15,79.34,74.53,27,0,4.99
289,Renqiu,CN,2/10/2022 15:47,38.7,116.09,48.92,48,0,3.98
290,Constitucion,CL,2/10/2022 15:46,-35.33,-72.42,61.48,49,0,12.68
291,Banda Aceh,ID,2/10/2022 15:44,5.56,95.32,81.25,73,100,9.84
292,Conakry,GN,2/10/2022 15:47,9.54,-13.68,91.4,63,40,6.93
293,Flinders,AU,2/10/2022 15:47,-34.58,150.86,55,88,9,1.01
294,Gimli,CA,2/10/2022 15:47,50.63,-96.99,24.8,67,0,6.93
295,Baruun-Urt,MN,2/10/2022 15:47,46.68,113.28,39,56,8,14.41
296,Vestmannaeyjar,IS,2/10/2022 15:47,63.44,-20.27,44.6,93,40,19.46
297,Bethel,US,2/10/2022 15:47,41.37,-73.41,46.4,93,90,5.82
298,Ajdabiya,LY,2/10/2022 15:47,30.76,20.23,71.29,59,0,11.01
299,Chiang Rai,TH,2/10/2022 15:47,19.92,99.92,73.4,100,20,4.05
300,Payo,ID,2/10/2022 15:47,-3.75,103.64,74.97,93,68,2.77
301,Uruzgan,AF,2/10/2022 15:47,32.83,66,37.49,71,0,0.85
